PLAYER,TEAM,POS,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA,AGE,HT,WT,SALARY
Terrence Ross, TOR,SF,81,26.7,0.553,8.2,9.2,17.2,2.3,11.3,6.8,12.09,51.4,1.7,23,78,195,2793960
Michael Kidd-Gilchrist, CHA,SF,62,24.2,0.516,9.5,11,13.8,8.2,16.2,12.2,12.07,35.2,1.2,20,79,232,5016960
Matt Barnes, LAC,SF,63,27.5,0.552,16.1,10.9,15.6,4,14.4,9.4,12.05,40.2,1.3,34,79,226,3396250
Jerryd Bayless, BOS/MEM,PG,72,23.4,0.498,20.5,8.7,19.7,1.5,8.6,5,12.04,26.2,0.9,26,75,200,3000000
Marcus Thornton, BKN/SAC,SG,72,24.2,0.511,9.3,8.1,22,3.7,9.4,6.6,12,39,1.3,27,76,205,8575000
Dorell Wright, POR,SF,68,14.5,0.524,14.9,9.1,15.6,3.2,17.5,10.5,11.98,21.7,0.7,28,81,205,3150000
Jae Crowder, DAL,SF,78,16.1,0.551,14.2,9.7,12.3,4.3,13.5,8.9,11.89,26.1,0.9,24,78,235,915243
Richard Jefferson, UTAH,SF,82,27,0.573,13.7,9.9,16.1,0.9,10.8,5.7,11.88,45.7,1.5,34,79,234,915243
Maurice Harkless, ORL,SF,80,24.4,0.542,11.2,12.1,13.6,4,11.4,7.7,11.87,39.8,1.3,21,81,220,1887840
Mo Williams, POR,PG,74,24.8,0.507,27.2,12.6,20.9,2.5,6.4,4.5,11.87,23.7,0.8,31,73,195,3750000
Kyle Singler, DET,SF,82,28.5,0.574,9,9.4,13.3,5.2,9.2,7.1,11.86,47.4,1.6,26,80,230,1090000
Nick Collison, OKC,PF,81,16.7,0.599,22.8,15.5,11.3,10.2,14.1,12.2,11.84,6.9,0.2,33,82,255,2242003
Pero Antic, ATL,C,50,18.5,0.545,13.3,12.6,17.1,7.2,18.9,13.1,11.74,15.8,0.5,32,83,260,1250000
Ish Smith, PHX,PG,70,14.4,0.438,33,12,16.5,3.5,10.9,7.2,11.71,10.7,0.4,26,73,175,915243
Reggie Evans, BKN/SAC,PF,54,16.6,0.516,7.3,20.3,12.1,14.7,28.4,21.5,11.69,2.5,0.1,34,80,245,1768653
J.J. Barea, MIN,PG,79,18.6,0.471,26.9,11.1,24.3,1.2,10.5,5.7,11.68,15,0.5,30,73,178,4519500
Austin Rivers, NO,SG,69,19.4,0.482,20.3,9.8,20.7,2.2,9.1,5.6,11.6,21.9,0.7,22,76,200,2439840
